Il passato remoto viene ormai usato sempre più di rado, quale forma verbale usiamo al suo posto?;a) Trapassato prossimo.;b) Passato prossimo.;c) Imperfetto.;d) Trapassato remoto.;2
"Le consonanti ""c"" e ""g"" possono avere diversi suoni, come si definiscono questi ultimi?";a) Sonoro e sordo.;b) Breve e lungo.;c) Gutturale e palatale.;d) Affricato e fricativo.;3
"Nel periodo ""Quando ci accorgemmo di avere sbagliato sentiero, la guida ci aveva superato di una decina di metri"", il verbo ""aveva superati"" rispetto al verbo ""ci accorgemmo"" esprime un'azione che accade ...";a) Dopo.;b) Contemporaneamente.;c) Prima.;d) Ripetutamente.;3
Quale delle seguenti affermazioni è corretta e completa.;a) L'avverbio è una parte invariabile del discorso che accompagna altre parole - un verbo, un aggettivo, un nome, un altro avverbio o un'intera frase.;b) L'avverbio è una parte invariabile del discorso che serve a modificarne il significato della frase, qualificandolo o precisandolo.;c) L'avverbio è una parte invariabile del discorso che accompagna altre parole - un verbo, un aggettivo, un nome, un altro avverbio o un'intera frase- per modificarne il significato, qualificandolo o precisandolo.;"d) L'avverbio è una parte invariabile del discorso che non accompagna altre parole -un verbo, un aggettivo, un nome, un altro avverbio o un'intera frase- per modificarne il significato, qualificandolo
oprecisandolo.";3
Quali forme può assumere l'aggettivo piccolo al grado comparativo e superlativo?;a) Peggiore e pessimo.;b) Inferiore e infimo.;c) Migliore e ottimo.;d) Minore e minimo.;4
"Nella frase ""Aspettami fuori, arrivo subito"" ci sono 2 avverbi.";a) Uno di modo e uno di tempo.;b) Uno di luogo e uno di tempo.;c) Uno di qualità e uno di tempo.;d) Uno di luogo e uno di valutazione.;2
Quali dei seguenti aggettivi non sono superlativi assoluti?;a) Eccezionale.;b) Infimo.;c) Straricco.;d) Ultra simpatico.;1
Quale articolo determinativo si usa per il nome psicologi?;a) Lo.;b) Il.;c) Le.;d) Gli.;4
"Completa la seguente frase coniugando il verbo tra parentesi nella forma corretta.""Che cosa.... (pensare) tuo padre se ti vedesse uscire con quel ragazzo"".";a) Pensasse.;b) Pensa.;c) Penserebbe.;d) Penserà.;3
"Le parole: molto, troppo, parecchio, alquanto, altrettanto, quanto, possono essere avverbi aggettivi
opronomi, come si distingue il caso in cui siano avverbi?";a) Quando accompagnano un nome e concordano in genere e numero.;b) Quando accompagnano un verbo e concorda nel numero.;c) Quando invariabili, accompagnano un verbo, un aggettivo o un altro avverbio.;"d) Quando sostituiscono un nome o si riferiscono ad un soggetto sottinteso con cui concordano per genere
e numero.";3
"Quante preposizioni articolate ci sono nella frase ""Benché i problemi presentassero delle difficoltà la ragazza riuscì a risolverli correttamente e nel tempo previsto""?";a) Nessuna.;b) 1.;c) 2.;d) 3.;2
Esistono delle differenze tra lingua orale e lingua scritta, quale tra queste definizioni è corretta?;a) La lingua scritta presenta delle norme rigide, quella parlata più flessibili.;b) La lingua orale e scritta non seguono delle regole precise.;c) La lingua scritta presenta delle norme più flessibili, quella orale più rigide.;d) La lingua orale e scritta seguono le medesime regole grammaticali.;1
"In quale delle seguenti frasi il pronome personale ""lei"" non ha funzione di complemento?";a) Alessia è una mia cara amica: mi posso sempre fidare di lei.;b) Eva è una ragazza molto altruista: lei aiuta chiunque si trovi in difficoltà.;c) Manuela è una mia compagna di scuola e con lei mi trovo bene.;d) Melissa è sicura di sé: a lei non interessa il parere degli altri.;2
In che casi non si usa l'articolo determinativo davanti al nome?;a) In presenza di soprannomi e di nomi geografici.;b) In presenza di nomi di piccole isole e di città, escludendo i casi in cui l'articolo sia parte integrante del nome stesso.;c) Nel caso di nomi propri preceduti da nomi comuni, un titolo, un nome di parentela.;d) Nel caso in cui un nome rappresenti un'intera famiglia, oppure entrambi i coniugi.;2
"Nella frase ""Mi chiesero di presentarmi, pertanto dissi il mio nome e cognome"" i verbi ""chiesero"" e ""dissero"" sono coniugati al:";a) Trapassato prossimo.;b) Passato remoto.;c) Imperfetto.;d) Passato prossimo.;2
Quali sono i pronomi riflessivi?;a) Mio, tuo, suo, nostro, vostro. loro.;b) Io, tu, lui, lei, noi, voi, loro.;c) Mi, ti, si, sé, ci vi, si, sé, loro.;d) Me, te, lui, lei, noi, voi, loro.;3
"Nella seguente frase indica il valore del congiuntivo. ""Se almeno dimagrissi""";a) Esortativo.;b) Desiderativo.;c) Dubitativo.;d) Concessivo.;2
"Nelle seguenti frasi: ""Se la scippassero, la zia correrebbe dietro ai borseggiatori, brandendo l'ombrellino in aria. Non vorrei essere nei panni di quell'uomo!"" , quante forme verbali sono presenti?";a) 4.;b) 5.;c) 6.;d) 3.;2
"Nella frase ""Ognuno di noi porterà dei dolci per la festa. Se anche tu portassi qualcosa, ci faresti un piacere"", quanti pronomi sono presenti nella frase?";"a) 1 indefinito, 1
dimostrativo e 2 personali.";b) 2 indefiniti e 2 personali.;c) 1 indefinito e 2 personali.;d) 2 indefiniti e 3 personali.;4
