Quale delle seguenti frasi contiene un errore ortografico?;a) Mio padre non riesce a trovare un nuovo lavoro.;b) La situazione peggiora giorno dopo giorno.;c) Sono al momento impossibilitata a chiedere le ferie.;d) La gamba gli è stata anputata circa tre anni fa.;4
Quale delle seguenti frasi contiene un errore ortografico?;a) Puoi venire da me a cualunque ora.;b) Preferisci mangiare carne o pesce?;c) Credo che quest'estate andrò al mare.;d) Hai mai visto così tanta pioggia?;1
Quale delle seguenti frasi non è ortograficamente corretta?;a) Non è stato possibile trasferirlo in un altro ufficio.;b) Le faremmo sapere la prossima settimana, signorina.;c) Il giudice lo ha accusato di peculato.;d) È una proposta allettante ma devi rifiutare.;2
Individuare l'aggettivo che NON è scritto correttamente.;a) Attendibile.;b) Accogliente.;c) Accovaciato.;d) Sveglio.;3
Quale delle seguenti frasi non è ortograficamente corretta?;a) Temo sia impossibile cambiare i biglietti aerei.;b) Non è necessario mandare una email alla segreteria.;c) Avrei bisogno di una vacanza.;d) Abbiamo già prenotato la vacanza e lasciato un'acconto.;4
Individuare il sostantivo che NON è scritto correttamente.;a) Milsa.;b) Cameriere.;c) Pineta.;d) Gelosia.;1
Individuare il sostantivo che NON è scritto correttamente.;a) Vetrina.;b) Porcile.;c) Selvaggio.;d) Strapare.;4
Quale dei seguenti termini NON è ortograficamente corretto?;a) Selezione.;b) Avulzo.;c) Sessione.;d) Settentrione.;2
Quale delle seguenti frasi non è ortograficamente corretta?;a) Le rivolte sono state sedate dalla polizia.;b) Credo che uscirò con una mia amica.;c) Avrei bisogno di un pò d'aria.;d) Mia madre è in pensione da tempo.;3
Individuare l'aggettivo che NON è scritto correttamente.;a) Selvaggio.;b) Simpatico.;c) Abiente.;d) Accidioso.;3
Quale delle seguenti frasi contiene un errore ortografico?;a) Prendiamo ad esempio qualzivoglia punto nello spazio.;b) Dopo la scuola mi iscriverò all'università.;c) Non ho mai pensato di fare la modella.;d) Il mio fidanzato oggi era tremendamente bello.;1
Quale delle seguenti frasi non è ortograficamente corretta?;a) Il suo è stato un comportamento inaccettabbile.;b) Preferirei il caffè al cappuccino, se possibile.;c) Non avrei mai pensato di trasferirmi in campagna.;"d) Quelle piante
necessitano di molta acqua.";1
Quale dei seguenti termini NON è ortograficamente corretto?;a) Indorare.;b) Agnostico.;c) Celebrale.;d) Avulso.;3
Individuare l'aggettivo che NON è scritto correttamente.;a) Abbinato.;b) Accanpato.;c) Caloroso.;d) Antipatico.;2
Individuare l'aggettivo che NON è scritto correttamente.;a) Indaffarato.;b) Egoista.;c) Leggero.;d) Accarezevole.;4
Quale delle seguenti frasi contiene un errore ortografico?;a) Il pane lo compro prima di tornare a casa.;b) Stamani sono arrivata al lavoro troppo tardi.;c) Se ora Marco non c'è lo chiamerò più tardi.;d) Ce lò fatta!;4
Individuare l'aggettivo che NON è scritto correttamente.;a) Agguerrito;b) Arrossato.;c) Brutto.;d) Abacchiato.;4
Individuare il sostantivo che NON è scritto correttamente.;a) Donzela.;b) Egoismo.;c) Frutteto.;d) Brontolio.;1
Individuare il sostantivo che NON è scritto correttamente.;a) Cucina.;b) Sguatero.;c) Sgherro.;d) Baruffa.;2
