"Quale segno di punteggiatura va inserito al posto dello spazio __? ""Il capo gli si intorbidò di stanchezza, di sonno __ e rimise la decisione all'indomani mattina"" (A. Fogazzaro, Piccolo mondo moderno)";a) !;b) :;"c) ;";d) .;3
"Quale segno di punteggiatura va inserito al posto dello spazio __? ""Io superai entrambi gli esami con tutti dieci __ Lila prese la licenza con tutti nove e otto in aritmetica"". (E. Ferrante, L'amica geniale)";a) .;b) :;"c) ;";d) ,;3
In quale delle seguenti frasi la punteggiatura NON è usata in modo corretto?;a) Avendo bevuto troppo, decise di non prendere la macchina.;b) Stavano scartando i regali, quando andò via la luce.;c) Gianfranco, gioca a tennis.;d) Essendo stato scoperto, il ladro scappò via velocemente.;3
I puntini di sospensione:;a) Sono sempre 3.;b) Sono sempre 5.;c) Il loro numero è a discrezione dello scrivente.;d) Sono sempre 4.;1
Quale delle seguenti frasi NON presenta la corretta punteggiatura?;"a) Verreste a fare
shopping con me più tardi?";b) Io sono nato a Roma, città tra le più belle al mondo.;c) Bevendo un caffè, ascoltai una terribile notizia alla radio.;d) Il nonno, è originario di Roma.;4
In quale delle seguenti frasi la punteggiatura NON è usata in modo corretto?;a) Come è stato il viaggio?;b) Non essendo mai stati a Londra, abbiamo prenotato una vacanza nella capitale del Regno Unito.;c) Penso, che domani le farò un regalo.;d) Marcella, una mia studentessa, è una campionessa di tennis.;3
In quale delle seguenti frasi la punteggiatura NON è usata in modo corretto?;a) Uffa! Non si fa mai nulla di divertente qui!;b) Potresti portarmi dell'acqua?;c) Avendo finito gli esami, Luca partì per la montagna,;d) Ho comprato una camicia, rosa perfetta per andare in ufficio.;4
Il punto esclamativo:;a) Si usa alla fine delle domande dirette.;b) Delimita il discorso diretto o una citazione.;c) Indica un'intonazione ascendente della voce.;d) Talvolta può essere usato assieme al punto interrogativo.;4
I due punti:;a) Non si possono mai usare per introdurre un discorso diretto.;b) Non si possono mai usare per introdurre una citazione.;c) Non si possono usare per introdurre un elenco.;d) Non si possono usare tra il verbo e il suo complemento oggetto.;4
Quale delle seguenti frasi NON presenta la corretta punteggiatura?;"a) La donna rispose. ""Noi non sappiamo nulla del furto""";b) Come ti sei trovata da noi?;"c) Mangiando una pizza,
Lorella chiacchierava del
più e del meno al telefono.";d) Sarei voluta venire alla festa, ma sono stata trattenuta al lavoro.;1
Quale delle seguenti frasi NON presenta la corretta punteggiatura?;a) Alle stelle i prezzi di pane, benzina, latte e verdura.;b) Lucia starnutirà sicuramente, se spruzzerete quel profumo in auto.;c) Non sto dormendo, anzi sono sveglissimo.;d) Io, devo andare a scuola di corsa.;4
Quale delle seguenti frasi presenta la corretta punteggiatura?;a) Giulio, deve andare via al termine dello spettacolo.;b) Credo che domani andrò, in ufficio.;c) Ricordati di portare i regali a Maria, Andrea, Giovanni e Luca.;d) Mario ha ordinato una pizza, con i funghi.;3
Quale delle seguenti frasi NON presenta la corretta punteggiatura?;a) Avrei preferito prendere un aereo, il viaggio in treno sarà lunghissimo.;b) Per quanto, a malincuore devo rinunciare all'incarico.;c) Oggi il cielo è meraviglioso, ma mette pioggia nel pomeriggio.;d) Mi piace la musica rap, ossia quella nata nelle periferie americane.;2
"Quale segno di punteggiatura va inserito al posto dello spazio __? ""Se c'era un'emergenza e non rispondeva __ erano guai seri"". (N. Ammaniti, Ti prendo e ti porto via)";a) ,;"b) ;";c) .;d) :;1
"Quale segno di punteggiatura va inserito al posto dello spazio __? ""Le solite cose che pensiamo tutti __ il cambio dell'olio, il radiatore dell'acqua, il cambio dei pneumatici"" ""(E. Brizzi, Elogio di Oscar Firmian e del suo impeccabile stile)";a) .;b) ,;c) :;"d) ;";3
La virgola:;"a) Si mette sempre davanti alla congiunzione copulativa ""né"".";"b) Si mette tra
complemento oggetto e verbo.";c) Non deve mai essere messa tra soggetto e verbo.;"d) Si mette sempre davanti alle congiunzioni disgiuntive ""o"" ,""oppure""";3
In quale delle seguenti frasi la punteggiatura NON è usata in modo corretto?;a) Tu credi all'oroscopo?;b) Alvaro, il cane di mia sorella, è fuggito da casa.;c) É necessario, che tutti paghino la quota.;d) Ubbidisci alla mamma!;3
"Quale segno di punteggiatura va inserito al posto dello spazio __? ""Ho un po' di febbre __ comunque mi sento in forze"".";a) ,;b) !;c) .;d) :;1
Quale delle seguenti frasi presenta la corretta punteggiatura?;a) Ho ordinato, del sushi per cena.;b) Essendo già stati alle isole Eolie, optammo per un tour della Sicilia.;c) Ho bevuto un vino, rosso eccezionale.;d) Abbiamo bevuto dell'ottimo vino, francese durante la cena.;2
In quale delle seguenti frasi la punteggiatura NON è usata in modo corretto?;a) Non sto guardando la TV, anzi sto studiando duramente.;b) Essendo stati derubati, ci recammo subito alla stazione dei Carabinieri.;c) Veramente, quella persona è una gran bugiarda.;d) Ho assaggiato una pizza, margherita davvero ottima.;4
Inserire il segno corretto. Il nemico giaceva immobile ___ abbandonato sui sassi ___ si sarebbe detto ben morto ___ senza quegli ultimi sussulti ___;"a) . ; ! :";"b) . - . ;";"c) , ; , ...";"d) ; , ? ;";3
Alla fine di una domanda viene utilizzato:;a) Il punto e virgola;b) Il punto esclamativo;c) Il punto interrogativo;d) Il punto fermo;3
I puntini di sospensione si usano sempre nel numero di:;a) Quattro;b) Non esiste un numero fisso;c) Due;d) Tre;4
Per introdurre un elenco o un'enumerazione:;a) Si utilizza la parentesi tonda;b) Si utilizza il punto fermo;c) Si utilizzano i due punti;d) Si utilizza la virgola;3
Inserire il segno corretto. Sul treno Roma __ Milano era in funzione il vagone __ristorante.;a) - -;b) , .;"c) - ;";"d) ; -";1
"Inserire il segno corretto. Ettore si alzò bruscamente e urlò: ""Adesso basta bambini ___""";a) ,;b) ?;c) !;d) .;3
Quale segno, utilizzato nello scritto, fa intendere all'interlocutore che lo scrivente ha un dubbio o un'incertezza?;a) L'asterisco;b) Il punto e virgola;c) Il trattino;d) I puntini di sospensione;4
Quanti tipi di parentesi esistono?;a) Due: tonde e graffe.;b) Due: quadre e graffe.;c) Tre: tonde, quadre e graffe.;d) Quattro: tonde, quadre, graffe e oblique.;3
Quale segno è impiegato alla fine delle abbreviazioni? Es: Sig;a) Il punto;b) I puntini di sospensione;c) Il punto e virgola;d) La virgola;1
"Quale segno, se inserito tra parentesi, indica un ""taglio"" di una citazione riportata non per intero?";a) I puntini di sospensione;b) I due punti;c) Il punto misto;d) La virgola;1
"Completare: ""_______ hanno una funzione esplicativa: danno il via a una spiegazione, la proposizione successiva spiega la precedente.";a) I punti esclamativi;b) I due punti;c) I punti fermi;d) I puntini di sospensione;2
