In quale delle seguenti frasi è presente un predicato verbale?;a) Oggi Marco è stanco.;b) Il cane di Sara è un cucciolo di dalmata.;c) Il figlio dei nostri nuovi vicini di casa è abbastanza simpatico.;d) Alcuni dei miei compagni di classe si sono iscritti a un corso di informatica.;4
In quale delle seguenti frasi l'espressione tra virgolette è un complemento di modo?;"a) ""Per l'intervento dell'idraulico"" il rubinetto ha smesso di perdere.";"b) ""Per gli studi
universitari"" ho deciso di andare a Roma.";"c) Il prossimo week-end partiremo ""in aereo"" per Madrid.";"d) Ti saluto ""calorosamente"" e ti mando un grande abbraccio.";4
Quale di queste frasi contiene un complemento di materia?;a) Il bowkeri è un arbusto sempreverde dai fiori bianchi.;b) Devo sostituire il contenitore per la raccolta delle bottiglie di vetro.;c) Ho letto un articolo a proposito dei cibi transgenici.;d) I miei nonni vivono con tre cani e dieci galline.;2
In quale delle seguenti frasi l'espressione tra virgolette è un complemento di termine?;"a) Il faro anteriore ""dell'auto"" non funziona più.";"b) Chi ""di voi"" viene con me in biblioteca?";"c) Passa il libro ""al tuo compagno"" di banco.";"d) Il vigneto è stato devastato ""dalla grandine"".";3
In quale delle seguenti frasi l'espressione tra virgolette è un complemento di termine?;"a) La giostra ""del luna park"" continuava a girare.";"b) Alcuni ""di loro"" non sono venuti in gita.";"c) Abbiamo riferito l'accaduto ""ai genitori"".";"d) La città fu devastata ""da un terribile uragano"".";3
In quale delle seguenti frasi il complemento tra virgolette è un complemento oggetto?;"a) ""L'estate prossima"" andrò al mare in campeggio con alcuni amici.";"b) Puoi comprare tu ""i fogli"" per la stampante?";"c) Quel rottame del tuo motorino vale forse ""dieci euro"".";"d) L'epidemia di peste durò ""molti anni"".";2
Quale di queste frasi contiene un complemento di compagnia?;a) Devo sostituire il contenitore per la raccolta delle bottiglie di vetro.;b) Il bowkeri è un arbusto sempreverde dai fiori bianchi.;c) Ho letto un articolo a proposito dei cibi transgenici.;d) I miei nonni vivono con tre cani e dieci galline.;4
In quale delle seguenti frasi è presente un predicato nominale?;a) Oggi sei venuto a scuola in bicicletta?;b) Lorenzo è stato sgridato dalla mamma.;c) Il nonno di Matilde è oculista.;d) Alcuni dei miei compagni di classe si sono iscritti a un corso di informatica.;3
Quale delle seguenti frasi contiene un complemento di termine?;a) A Natale andremo in montagna.;b) Ti chiamerò questa sera.;c) Ti hanno detto la verità.;d) Il bar chiude a mezzanotte.;3
Quale delle seguenti frasi contiene un attributo del soggetto?;a) Josepha fa jogging nel parco tutte le mattine.;b) I rami del piccolo melo sono stati spezzati dal vento.;c) A pochi chilometri da qui trovate un castello medievale.;d) Tra poco inizierà il secondo spettacolo.;4
In quale delle seguenti frasi è presente un predicato verbale?;a) Il figlio dei nostri nuovi vicini di casa è abbastanza simpatico.;b) Il cane di Sara è un cucciolo di dalmata.;c) Oggi Marco è stanco.;d) Lorenzo è stato sgridato dalla mamma.;4
In quale delle seguenti frasi è presente un predicato nominale?;a) Oggi sei venuto al lavoro in bus?;b) Lorenzo è stato elogiato dal nonno.;c) Il padre di Giovanni è medico.;d) Alcuni dei miei compagni di squadra si sono iscritti ad una gara di nuoto.;3
Indica quale delle seguenti frasi contiene un complemento oggetto.;a) Mio padre ha sorriso al micio e lo ha accolto in casa.;b) È rimasta della verdura di ieri in frigorifero.;c) Verrà anche stasera il tuo amico Paolo?;d) Anche domani pioverà?;1
In quale delle seguenti frasi l'espressione tra virgolette è un complemento di specificazione?;"a) Chi ""di voi"" viene con me in biblioteca?";"b) Passa il libro ""al tuo compagno"" di banco.";"c) Il faro anteriore ""dell'auto"" non funziona più.";"d) Il vigneto è stato devastato ""dalla grandine"".";3
Quale delle seguenti frasi presenta un errore nella concordanza tra soggetto e predicato?;a) Marco insieme a suo cugino è andato in campagna dai nonni.;b) Marco insieme a suo cugino sono andati in campagna dai nonni.;c) Marco è andato in campagna dai nonni con suo cugino.;d) Marco e suo cugino sono andati in campagna dai nonni.;2
