"Nel periodo ""Per quanto Carlo si fosse impegnato davvero molto negli ultimi mesi, non è riuscito a passare le selezioni perché la giuria ha ritenuto che la preparazione di altri atleti fosse superiore alla sua"", la principale è:";a) Carlo si fosse davvero impegnato negli ultimi mesi.;b) La giuria ha ritenuto.;c) Non è riuscito a passare le selezioni.;d) La preparazione di altri atleti fosse superiore alla sua.;3
"Nel periodo ""Mentre tornavo da scuola, la mia amica ha ritrovato sano e salvo il suo gattino che era sparito da tre giorni"", il verbo della frase principale (ha ritrovato) esprime, rispetto al verbo della frase subordinata (era sparito) un'azione che accade:";a) Ripetutamente.;b) Contemporaneamente.;c) Successivamente.;d) Precedentemente.;3
"Che tipo di proposizione è la subordinata fra virgolette? Marco fu lodato ""per aver scritto un bell'articolo sul giornalino della scuola"".";a) Finale.;b) Causale.;c) Consecutiva.;d) Dichiarativa.;2
"Nel periodo ""Mentre tornavo da scuola, la mia amica ha ritrovato sano e salvo il suo gattino che era sparito da tre giorni"", quante proposizioni ci sono?";a) Cinque.;b) Tre.;c) Quattro.;d) Due.;2
"Nella seguente frase che tipo di proposizione introduce la congiunzione ""che""? ""Andrea ha promesso che non rientrerà tardi"".";a) Relativa.;b) Soggettiva.;c) Dichiarativa.;d) Oggettiva.;4
In quale dei seguenti periodi è presente una proposizione interrogativa indiretta?;a) Non vedo l'ora di finire questo quiz.;b) Dimmi perché ti sei comportato così.;"c) In quel momento avrei voluto chiederti: ""Perché parli così poco?"".";d) Che cosa hai mangiato? Dimmelo!;2
In quale dei seguenti periodi è presente una subordinata temporale esplicita?;a) Tornando a casa, passerò a comprare delle pizze per cena.;b) Sarà meglio che tu ti dia una calmata, prima che combini altri guai!;"c) Arrivati al mare, Dario
e Valentina si tuffarono subito in acqua.";d) Prima di uscire con gli amici, finisci i compiti!;4
"Nel periodo ""Voglio sapere che cosa combini"" la subordinata ""che cosa combini"" è:";a) Oggettiva.;b) Interrogativa indiretta.;c) Consecutiva.;d) Soggettiva.;2
"Quante proposizioni compongono il seguente periodo? ""Tutti ridevano, ma pochi avevano davvero capito la battuta che avevi fatto"".";a) 4.;b) 3.;c) 2.;d) 5.;2
In quale dei seguenti periodi è presente una subordinata temporale esplicita?;a) Partiti per le vacanze, saremo tutti più rilassati;b) Dopo avere letto la novella di Boccaccio, fatene un breve riassunto.;c) Prima di dormire, mi piace leggere qualche pagina di un libro.;d) Mentre andavo al lavoro, vidi un cagnolino abbandonato.;4
In quale dei seguenti periodi c'è una frase subordinata temporale?;a) Siamo andati a fare una passeggiata, mentre avrei preferito rimanere a casa.;b) Mentre camminava, osservava il paesaggio circostante.;c) I fiori di questo cactus sono bellissimi, ma nascono una sola volta l'anno.;d) Nonostante vivano in cattività, i pinguini dell'acquario sono riusciti a riprodursi.;2
"Nel seguente periodo qual è il grado della proposizione subordinata tra virgolette? ""Ogni volta che lo zio passa da qui"" viene a trovarmi.";a) 2° grado.;b) 4° grado.;c) 3° grado.;d) 1° grado.;4
"Quante proposizioni compongono il seguente periodo? ""Prima di partire, chiamami per salutarmi altrimenti chissà quando ti risentirò!"".";a) 3.;b) 4.;c) 5.;d) 2.;2
Indica quale fra i seguenti periodi è composto da una proposizione principale e da una coordinata alla principale.;a) Luisa ha dimenticato gli occhiali a casa, è caduta per strada e ora è al Pronto Soccorso.;b) Luisa ha dimenticato gli occhiali a casa.;c) Luisa ha dimenticato gli occhiali a casa e ora non vede alla lavagna.;d) Luisa ha dimenticato gli occhiali a casa perché era di fretta stamattina.;3
Indica quale fra i seguenti periodi è composto da una proposizione principale e da una coordinata alla principale.;a) Piove forte, fa freddo, è una giornata orribile.;b) Piove forte: la gita è rimandata.;c) Piove forte, non possiamo uscire e ci annoieremo in casa.;d) Piove forte, quindi dobbiamo ricordarci gli ombrelli se non vogliamo bagnarci.;2
"Nel periodo ""Sono molto portata per la matematica, quindi penso che l'anno prossimo frequenterò il liceo scientifico"" qual è la funzione di ""quindi""?";"a) Contraddire
l'affermazione precedente.";b) Concludere un ragionamento.;c) Fornire un'alternativa.;d) Fornire un esempio di quanto detto prima.;2
In quale dei seguenti periodi è presente una frase subordinata soggettiva?;a) La mamma si ricordò che non era andata alla riunione a scuola.;b) Valter mi riferì che era troppo affaticato per l'allenamento.;c) Non credo di essere interessata a questo prodotto.;d) È bene che restiate al rifugio con questa bufera.;4
"Nella seguente frase che tipo di proposizione introduce la congiunzione ""che""? ""Si dice che la prossima estate sarà particolarmente piovosa"".";a) Dichiarativa.;b) Oggettiva.;c) Soggettiva.;d) Relativa.;3
"Con quale congiunzione o locuzione congiuntiva subordinante può essere sostituita la parola ""che"" nel periodo ""Ieri sera ho assistito a un concerto che non dimenticherò facilmente""?";a) Finché.;b) Tale che.;c) Poiché.;d) Mentre.;2
"In quale delle seguenti frasi ""mentre"" ha valore avversativo e non temporale?";a) Stai sbagliando: ti lamenti mentre dovresti essere contento.;b) Mentre vado a scuola incontro sempre il mio vicino con il cane.;c) Il lupo arrivò mentre Cappuccetto Rosso stava raccogliendo fiori nel bosco.;d) Ce la fai a riordinare la stanza mentre io vado a fare spesa?;1
Nella struttura del periodo, la coordinazione può avvenire:;a) Con o senza avverbi;b) Senza congiunzioni o tramite congiunzioni;c) Unicamente senza congiunzioni;d) Unicamente tramite congiunzioni;2
Nel periodo semplice:;"a) Si hanno più
proposizioni principali e diverse subordinate";b) Si ha una sola proposizione principale.;"c) Si hanno una
proposizione principale più alcune subordinate";d) Si hanno due proposizioni principali.;2
Quale dei seguenti periodi contiene una proposizione coordinata?;a) Luca pianse e Ursula gli porse un fazzoletto.;b) Accortasi che Luca piangeva, Ursula gli porse un fazzoletto.;c) Avendo pianto, Luca chiese ad Ursula un fazzoletto.;d) Poiché Luca pianse Ursula gli porse un fazzoletto.;1
"Quale tra le seguenti è la proposizione coordinata? ""Rachele ripose il libro e si versò un bicchiere d'acqua, dopo aver accarezzato il gatto che riposava sul divano""";a) E si versò un bicchiere d'acqua;b) Dopo aver accarezzato il gatto;c) Che riposava sul divano;d) Rachele ripose il libro;1
"Quale tra le seguenti è la proposizione principale? ""Mi schiarii la gola e decisi di parlare, nonostante avessi paura di fare brutta figura.""";a) Di fare brutta figura;b) E decisi di parlare;c) Mi schiarii la gola;d) Nonostante avessi paura;3
Quale dei seguenti periodi contiene una proposizione coordinata?;a) Avendo tu lavato i piatti, io rifarò il letto.;b) Una volta che io ho rifatto il letto, tu laverai i piatti.;c) Io rifaccio il letto e tu lavi i piatti.;d) Mentre rifaccio il letto, tu lavi i piatti.;3
Individuare quale, tra le seguenti subordinate, è implicita.;a) Se avessi fame, mi preparerei un panino;b) Improvvisamente mi resi conto di avere sete;c) Se non bevi acqua a sufficienza ti disidrati;d) Dal momento che ho sete, mi verso dell'acqua;2
"Quante subordinate contiene il seguente periodo? ""Parlerò con Davide per ricordargli che gli voglio bene anche se abbiamo litigato.""";a) Due;b) Una;c) Tre;d) Quattro;3
Quale, tra i seguenti, è un periodo semplice?;a) La luna cala;b) La luna cala, l'aria si rinfresca e i grilli iniziano a cantare;c) Quando la luna cala, poiché l'aria si rinfresca, i grilli iniziano a cantare.;d) La luna cala e l'aria si rinfresca;1
Individuare quale, tra le seguenti subordinate, è esplicita.;a) Essendo in anticipo, possiamo fare con calma;b) Poiché siamo in ritardo, dovremo prendere un taxi;c) Avendo poco tempo, mi preparai in gran fretta;d) Capii di avere i minuti contati;2
"Quante subordinate contiene il seguente periodo? ""Telefono a Giulia per ringraziarla di aver partecipato al mio compleanno.""";a) Una;b) Due;c) Tre;d) Quattro;2
Quale, tra i seguenti, è un periodo semplice?;a) Poiché il cane abbaia, il gatto si agita;b) Il cane abbaia e il gatto si agita;c) Quando il cane abbaia, il gatto si agita e comincia a miagolare;d) Il cane abbaia;4
"Quante subordinate contiene il seguente periodo? ""Vado da Martina per restituirle le scarpe che mi ha prestato per partecipare alla festa.""";a) Quattro;b) Tre;c) Due;d) Cinque;2
"Completare con l'alternativa corretta: ""_______ non venendo introdotte da congiunzioni o altri elementi di collegamento, hanno un significato autonomo. """;a) Le proposizioni secondarie;b) Le proposizioni subordinate;c) Le proposizioni principali;d) Le proposizioni dipendenti;3
Nell'analisi del periodo le proposizioni principali vengono anche dette:;a) Relative;b) Subordinate;c) Indipendenti;d) Secondarie;3
In quale frase è presente una proposizione indipendente interrogativa diretta retorica?;a) Non ho forse ragione?;b) Che cosa vuoi bere?;c) Hai già ordinato la pizza?;d) Come ti chiami?;1
La proposizione indipendente volitiva se esprime un comando, un'esortazione o un invito con il verbo all'imperativo e all'infinito si definisce:;a) Imperativa.;b) Concessiva.;c) Esortativa.;d) Desiderativa.;1
Individuare quale, tra le seguenti proposizioni subordinate, è esplicita.;a) Sbagliando si impara.;b) Pur avendo tempo, riuscii ad essere in ritardo.;c) Vide Sebastiano cadere nel fosso.;d) Dimmi quale vuoi.;4
