Accertati i fatti di cui all'art. 75 comma 1 del D.P.R. 309/90, gli organi di polizia procedono alla contestazione immediata, se possibile, e riferiscono senza ritardo e comunque entro dieci giorni, con gli esiti degli esami tossicologici sulle sostanze sequestrate effettuati presso le strutture pubbliche di cui al comma 10:;a) Al Presidente della Camera di Commercio.;b) Alla Procuratore della Repubblica competente.;c) Al Questore della provincia di residenza del trasgressore.;d) Al Prefetto competente ai sensi del comma 13 dell'art. 75 del D.P.R. 309/90.;4
Ai sensi dell'art. 79 comma 2 del D.P.R. 309/90 chiunque, avendo la disponibilità di un immobile, di un ambiente o di un veicolo a ciò idoneo, lo adibisce o consente che altri lo adibisca a luogo di convegno abituale di persone che ivi si diano all'uso di sostanze stupefacenti o psicotrope è punito con le stesse pene previste nel comma 1, ma la pena è aumentata ai sensi del comma 3 del medesimo articolo:;a) Nessuna delle risposte è corretta.;b) Se al convegno partecipano soggetti con precedenti specifici per spaccio.;c) Non sono previsti aumenti di pena.;d) Dalla metà a due terzi se al convegno partecipa persona di età minore.;4
L'autorizzazione di cui all'art. 17 del D.P.R. 309/90, relativamente alla coltivazione, produzione e fabbricazione delle sostanze stupefacenti è rilasciato da:;a) Nessuna risposta è corretta.;b) Ministero dell'Interno.;c) Ministero delle Politiche agricole.;d) Ministero della Sanità.;4
Ai sensi dell'art. 34 del D.P.R. 309/90,le aziende che fabbricano sostanze stupefacenti hanno l'obbligo nei confronti dei militari della Guardia di Finanza di:;a) Garantire interamente l'onere della missione.;b) Garantire la spesa dei pasti.;c) Fornire i locali idonei, presso lo stabile, per lo svolgimento delle operazioni di controllo.;d) Nessuna risposta è corretta.;3
Ai sensi dell'art. 103 comma 1 del D.P.R. 309/90 gli ufficiali e sottufficiali della Guardia di Finanza possono:;a) Svolgere negli spazi doganali le facoltà di visita, ispezione e controllo previste dagli articoli 19 e 20 del testo unico delle disposizioni legislative in materia doganale.;b) Procedere obbligatoriamente all'arresto d'iniziativa del trasportatore che non intenda fornire la documentazione inerente un trasporto da paese extra U.E..;c) Nessuna delle risposte è corretta.;d) Procedere ad attività sotto copertura negli spazi doganali qualora abbiano contezza di violazioni inerenti il D.P.R. 309/90.;1
Ai sensi dell'art. 103 del D.P.R. 309/90 gli ufficiali di polizia giudiziaria, quando ricorrano motivi di particolare necessità ed urgenza che non consentano di richiedere l'autorizzazione telefonica del magistrato competente, possono altresì procedere a perquisizioni dandone notizia, senza ritardo e comunque entro:;a) 72 ore.;b) 48 ore.;c) 36 ore.;d) 24 ore.;2
Ai sensi dell'art. 15 del D.P.R. 309/90 il Ministero della Sanità provvede:;a) Alla pubblicazione periodica ed alla diffusione mediante trasmissione alle regioni ed alle autorità sanitarie locali, dei dati aggiornati concernenti le sostanze indicate nelle tabelle di cui all'articolo 29, i loro effetti, i metodi di cura delle tossicodipendenze, l'elenco dei presidi sanitari specializzati e dei centri sociali abilitati alla prevenzione ed alla cura delle tossicomanie.;b) Alla pubblicazione periodica ed alla diffusione mediante trasmissione alle regioni ed alle autorità sanitarie locali, dei dati aggiornati concernenti le sostanze indicate nelle tabelle di cui all'articolo 14, i loro effetti, i metodi di cura delle tossicodipendenze, l'elenco dei presidi sanitari specializzati e dei centri sociali abilitati alla prevenzione ed alla cura delle tossicomanie.;c) Non sono previste particolari prescrizioni all'art. 15 del D.P.R. 309/90.;d) Nessuna delle risposte è corretta.;2
Ai sensi dell'art. 12, comma 17, del D. Lgs. 109/2007 quali sono i compiti dell'Agenzia del demanio se le cose non possono essere custodite senza pericolo di deterioramento o senza rilevante dispendio?;a) L'Agenzia del demanio provvede alla vendita in ogni momento e la comunica all'avente diritto entro trenta giorni.;b) L'Agenzia del demanio provvede alla vendita in ogni momento, previa comunicazione all'avente diritto.;c) L'Agenzia del demanio provvede alla vendita in ogni momento e la comunica successivamente all'avente diritto.;d) L'Agenzia del demanio provvede alla vendita in ogni momento e non ha obbligo di comunicazione all'avente diritto.;2
Ai sensi dell'art. 1 comma 12 del D.P.R. 309/90, le campagne informative sugli effetti negativi sulla salute derivanti dall'uso di sostanze stupefacenti:;a) Possono essere promosse dal Presidente del Consiglio dei Ministri d'intesa con altre figure ministeriali.;b) Possono essere promosse dal presidente del Consiglio dei Ministri.;c) Possono essere trasmesse in determinate fasce orarie.;d) Non possono essere trasmesse.;1
L'Unità di Informazione Finanziaria italiana per lo svolgimento dei compiti di cui all'art. 10 del D. Lgs. 109 del 2007 è istituita presso:;"a) La Banca d'Italia;";"b) La Guardia di Finanza;";"c) La Banca Centrale Europea;";"d) Il Consiglio d'Europa;";1
