Quale articolo del D.Lgs 195/2008 disciplina i poteri di accertamento e di contestazione?;a) art 3;b) art 7;c) art 4;d) art 9;3
Ai sensi dell'art. 1 del Dlgs 195/2008 quali tra queste non rientra tra le autorità competenti in materia di circolazione transfrontaliera di valuta:;a) la Guardia di Finanza;b) U.I.F.;c) l'Agenzia delle Dogane;d) La Polizia di Stato;4
Il Decreto legislativo n. 195/2008 all'art. 6 disciplina:;a) la collaborazione e lo scambio di informazioni;b) il sequestro del denaro contante trasferito o che si tenta di trasferire di importo pari o superiore a 10.000 euro;c) gli adempimenti oblatori;d) le sanzioni;2
Quali sono gli elementi essenziali che devono essere specificati nella dichiarazione, ai sensi dell'articolo del Regolamento (CE) n. 1889/2005 che disciplina l'obbligo di dichiarazione in tema di trasporto di denaro contante?;"a) Le generalità complete del dichiarante, il proprietario del denaro contante, il destinatario del denaro contante, l'importo
e la natura del denaro contante, l'origine e la destinazione del denaro contante, l'itinerario seguito e il mezzo di trasporto";b) Le generalità complete del dichiarante, il proprietario del denaro contante, il destinatario del denaro contante, l'importo e la natura del denaro contante, l'origine e la destinazione del denaro contante;c) Le generalità complete del dichiarante, il proprietario del denaro contante, l'importo e la natura del denaro contante, l'origine del denaro contante, l'itinerario seguito e il mezzo di trasporto utilizzato;d) Le generalità complete del dichiarante, il proprietario del denaro contante, il destinatario del denaro contante, l'importo del denaro contante, l'origine e la destinazione del denaro contante e il mezzo di trasporto utilizzato;1
La dichiarazione redatta in conformità al modello previsto dal Dlgs 195/2008:;a) può essere rilasciata anche in forma scritta al momento del passaggio esclusivamente presso gli uffici doganali di confine;b) può essere trasmessa esclusivamente in via telematica prima dell'attraversamento della frontiera;c) può essere consegnata in forma scritta al momento del passaggio presso gli uffici doganali di confine o limitrofi o alternativamente essere trasmessa in via telematica prima dell'attraversamento della frontiera;d) può essere consegnata esclusivamente in forma scritta al momento del passaggio presso gli uffici doganali di confine o limitrofi;3
Qualora dall'approfondimento di una segnalazione per operazione sospetta emergessero violazioni alla disciplina valutaria ex art. 3 del D.Lgs. 195/2008, il Reparto operante deve procedere alla contestazione degli illeciti?;a) Soltanto se si tratta di un Nucleo PEF in sede di Capoluogo di Regione;b) Si;c) Soltanto se si tratta di un Nucleo PEF;d) No;2
A cosa corrispondono l'itinerario seguito e il mezzo di trasporto utilizzato ai sensi del Regolamento (CE) n. 1889/2005?;"a) agli elementi da elencare nel verbale di
constatazione";b) ad alcuni tra gli elementi essenziali che devono essere specificati nella dichiarazione;c) a nulla;d) agli elementi sufficienti che devono essere specificati nella dichiarazione;2
L'Agenzia delle Dogane e dei Monopoli, in virtù di quanto stabilito dal D.Lgs. 195/2008, a cosa è deputata?;a) alla raccolta e gestione delle dichiarazioni obbligatorie di valuta d'importo pari o superiore a 10.000 euro;b) alla rendicontazione della bilancia dei pagamenti;c) all'accertamento dei tributi;d) alla rendicontazione del conto finanziario;1
Che cosa deve fare ogni persona che entra o esce dallo Stato italiano che trasporta denaro contante di importo pari o superiore a 10.000 euro?;a) Presentarsi presso la Questura più vicina;b) Presentarsi presso la più vicina stazione dei Carabinieri;c) Nulla;d) Ai sensi dell'art 3 del DLgs 195/2008, devono effettuare la dichiarazione di trasporto di denaro contante;4
Per quanto concerne l'accertamento delle violazioni previste dal DLgs 195/2008, i militari della Guardia di Finanza esercitano i poteri e le facoltà attribuiti dal D.Lgs. n. 68/2001?;a) No, soltanto quelli attribuiti dall'art 22 del DPR 148/1988;b) si;c) No, soltanto quelli attribuiti dall'art 25 del DPR 148/1988;d) No;2
Per quanto concerne l'accertamento delle violazioni previste dal DLgs 195/2008, i militari della Guardia di Finanza esercitano i poteri e le facoltà attribuiti dalla legge n. 4/1929?;a) No, soltanto quelli attribuiti dall'art 25 del DPR 148/1988;b) No;c) No, soltanto quelli attribuiti dall'art 22 del DPR 148/1988;d) si;4
Le disposizioni relative ai movimenti di valuta oltre frontiera non si applicano:;a) solo ai trasferimenti di vaglia postali o cambiari;b) ai trasferimenti di vaglia postali o cambiari e agli assegni postali, bancari o circolari tratti o emessi da banche o Poste Italiane S.p.a. che rechino l'indicazione del nome del beneficiario e la clausola di non trasferibilità;c) ai trasferimenti di vaglia postali o cambiari e agli strumenti negoziabili al portatore come i travellers' cheque;d) ai trasferimenti di vaglia postali o cambiari e agli assegni postali, bancari o circolari tratti o emessi da banche o Poste Italiane S.p.a.;2
Nel caso in cui le persone fisiche entrano o escono dal territorio italiano trasportando denaro contante, la soglia di 10.000 euro prevista per legge:;a) si deve intendere riferita all'intero gruppo di persone solo nel caso in cui lo stesso sia formato al massimo da 5 soggetti;b) si deve intendere riferita all'intero gruppo di persone solo nel caso in cui lo stesso sia formato al massimo da 5 soggetti facenti parte del medesimo nucleo familiare;c) si applica singolarmente a ciascuna persona fisica componente del gruppo;d) si deve intendere riferita all'intero gruppo di persone;3
In virtù di quanto stabilito dal Regolamento (CE) 1889/2005 in presenza di indizi di connessione con attività illecite per finalità di riciclaggio, vi è un onere di scambio di informazioni tra i Paesi membri, sui trasferimenti valutari?;a) No;b) Soltanto se hanno prima siglato un accordo;c) Soltanto se hanno prima siglato un protocollo;d) Si;4
Quali sono le Autorità competenti in materia valutaria ai sensi dell'art. 1 del Decreto legislativo n. 195/2008?;a) L'Agenzia delle Dogane e dei Monopoli, il Ministero dell'Economia e delle Finanze, l'Unità  di Informazione Finanziaria e la Guardia di Finanza;b) L'Agenzia delle Dogane, l'Agenzia delle Entrate e la Guardia di Finanza;c) L'Agenzia delle Dogane, l'Agenzia delle Entrate, l'Unità di Informazione Finanziaria e la Guardia di Finanza;d) Solo l'Agenzia delle Dogane, il Ministero dell'Economia e delle Finanze e la Guardia di Finanza;1
Il pagamento in misura ridotta è precluso in virtù del DLgs 195/2008:;a) se l'importo del denaro contante eccedente la soglia dell'articolo 3 superi 150.000 euro;b) se l'oblazione non è valida.;"c) se l'importo del denaro contante eccedente la soglia dell'articolo 3 superi 40.000 euro; se il soggetto cui è stata contestata la violazione si è già avvalso della stessa facoltà oblatoria nei 5 anni antecedenti la ricezione dell'atto di contestazione.";"d) se l'importo del denaro contante eccedente la soglia dell'articolo 3 superi 150.000 euro; se il soggetto cui è stata contestata la violazione si è già avvalso della stessa facoltà oblatoria nei 365 giorni antecedenti la ricezione dell'atto di contestazione;";3
La disciplina comunitaria di riferimento in materia di circolazione transfrontaliera di valuta è costituita;a) dalla Direttiva (CE) n. 1889/2015 del 26 ottobre 2015;b) dalla Direttiva (CE) n. 1889/2005 del 26 ottobre 2005;c) dal Regolamento (CE) n. 1889/2005 del 26 ottobre 2005;d) dal Regolamento (CE) n. 1889/2015 del 26 ottobre 2015;3
Quali sono le Autorità competenti a ricevere le dichiarazioni valutarie, ai sensi del regolamento CE n. 1889/2005?;a) Le Autorità Giudiziarie dei singoli Stati membri;b) Le Forze di polizia dei singoli Stati membri;c) Le U.I.F. dei singoli Stati membri;d) Le Autorità doganali dei singoli Stati membri;4
Il Regolamento (CE) n. 1889/2005, all'art. 8 disciplina:;a) il segreto d'ufficio;b) i poteri delle Autorità competenti;"c) lo scambio di
informazioni con i Paesi terzi";d) le sanzioni;1
Il Regolamento (CE) n. 1889/2005, all'art. 4 disciplina:;a) la registrazione e il trattamento delle informazioni;b) i poteri delle Autorità comunitarie;c) l'obbligo di dichiarazione;d) i poteri delle Autorità competenti;4
Per quanto concerne i trasferimenti di denaro contante da e verso l'estero di importo pari o superiore a 10.000 euro effettuati mediante plico postale o equivalente, il Decreto legislativo n. 195/2008 prevede, all'art. 3, che:;a) la prevista dichiarazione venga consegnata a Poste Italiane s.p.a. o ai diversi fornitori di servizi postali all'atto della spedizione o al ricevimento non considerando, nel computo dei termini, i giorni festivi;b) la prevista dichiarazione venga consegnata a Poste Italiane s.p.a. o ai diversi fornitori di servizi postali all'atto della spedizione o nelle 48 ore successive al ricevimento non considerando, nel computo dei termini, i giorni festivi;c) la prevista dichiarazione venga consegnata a Poste Italiane s.p.a. o ai diversi fornitori di servizi postali all'atto della spedizione o nelle 24 ore successive al ricevimento non considerando, nel computo dei termini, i giorni festivi;d) la prevista dichiarazione venga consegnata ai diversi fornitori di servizi postali all'atto della spedizione o nelle 48 ore successive al ricevimento considerando, nel computo dei termini, i giorni festivi;2
Il Comitato di Sicurezza Finanziaria è preposto alla tutela del sistema di sorveglianza nazionale sui movimenti transfrontalieri di valuta, ai sensi del D.lgs 195/2008?;a) Solo per movimenti di importo superiore a 15.000 euro;b) Solo nei casi espressamente previsti dalla legge;c) Sì;d) No;4
In virtù di quanto previsto dall'art. 3 del D.Lgs. n. 195/2008, la dichiarazione relativa al trasporto di denaro contante di importo pari o superiore a 10.000 euro effettuata da chiunque entra nel territorio nazionale o ne esce:;a) può essere, in alternativa, trasmessa telematicamente prima dell'attraversamento della frontiera, consegnata in forma scritta oppure resa in forma orale al momento del passaggio della frontiera;b) può essere, in alternativa, trasmessa telematicamente prima dell'attraversamento della frontiera o consegnata in forma scritta al momento del passaggio della frontiera;"c) deve essere
prioritariamente trasmessa in via telematica e successivamente
consegnata in forma scritta al momento del passaggio della frontiera";d) deve essere trasmessa telematicamente prima dell'attraversamento della frontiera;2
In caso di avvio di controlli (dentro o fuori gli spazi doganali) finalizzati al riscontro della regolare presentazione della dichiarazione valutaria, i militari del Corpo possono agire in autonomia ai sensi del decreto 195/2008?;a) Possono agire in autonomia solo se i controlli sono eseguiti al di fuori degli spazi doganali;b) No, possono svolgere solo compiti di collaborazione, vigilanza ed assistenza ai funzionari dell'Agenzia delle Dogane anche quando i controlli sono eseguiti al di fuori degli spazi doganali;c) No, possono svolgere solo compiti di collaborazione, vigilanza ed assistenza ai funzionari dell'Agenzia delle Dogane se i controlli sono eseguiti all'interno degli spazi doganali;d) Sì, possono agire in autonomia anche quando i controlli sono svolti all'interno degli spazi doganali;4
In virtù del Regolamento (CE) n. 1889/2005 a cosa corrispondono: l'importo e la natura del denaro contante, l'origine e la destinazione del denaro contante?;a) agli elementi sufficienti che devono essere specificati nella dichiarazione;b) a nulla;c) ad alcuni tra gli elementi essenziali che devono essere specificati nella dichiarazione;"d) agli elementi da elencare nel verbale di
constatazione";3
Quale Ente/Istituzione è competente a irrogare le sanzioni a seguito delle violazioni sui movimenti transfrontalieri di valuta?;"a) L'Agenzia delle Dogane
e dei Monopoli";b) Il M.E.F.;c) L'Agenzia delle Entrate;d) La Guardia di Finanza;2
"Secondo quale accezione deve essere intesa l'espressione ""denaro contante"" ai fini della presentazione della dichiarazione valutaria ai sensi dell'art. 1, comma 1, lett. c) del decreto 195/2008 ?";a) Le banconote e le monete metalliche aventi corso legale, l'oro, i metalli e le pietre preziose, nonché tutti gli strumenti negoziabili al portatore o comunque privi dell'indicazione del beneficiario;"b) Denaro, titoli e valori mobiliari, ad eccezione dell'oro, dei metalli e delle pietre preziose e dei cc.dd. ""Traveller's cheque""";c) Solo le banconote e le monete metalliche aventi corso legale;d) Le banconote e le monete metalliche aventi corso legale, gli strumenti negoziabili, compresi gli assegni, emessi al portatore, ovvero privi del nome del beneficiario;4
"Le monete in metallo prezioso, ai fini
dell'applicazione della disciplina sulla circolazione transfrontaliera di contante:";a) non sono considerate denaro contante e quindi non sono oggetto di dichiarazione valutaria;b) non sono considerate denaro contante solo se fuori corso legale;c) sono considerate denaro contante qualora si tratti di monete d'oro e di conseguenza sono soggette a dichiarazione valutaria nei termini previsti dalla normativa;d) sono considerate denaro contante e di conseguenza sono soggette a dichiarazione valutaria nei termini previsti dalla normativa;1
Le Autorità Giudiziarie dei singoli stati membri sono competenti a ricevere le dichiarazioni valutarie, ai sensi del regolamento CE n. 1889/2005?;a) soltanto per importi inferiori a 100.000,00 euro;b) No, lo sono soltanto le Autorità doganali dei singoli Stati membri;c) Soltanto per importi superiori a 100.000,00 euro;d) Si;2
La relazione annuale sulle attività poste in essere per prevenire e accertare le violazioni previste dal D.Lgs. n. 195/2008 viene presentata:;a) dall'Agenzia delle Dogane, dalla Guardia di Finanza e dall'Unità di Informazione Finanziaria per le attività rispettivamente svolte;b) dall'Agenzia delle Dogane che relaziona anche sulle attività condotte dalla Guardia di Finanza;c) dall'Agenzia delle Dogane e dalla Guardia di Finanza per le attività rispettivamente svolte;d) dall'Agenzia delle Dogane;3
In virtù del D.Lgs. n. 195/2008, qualora il pagamento in misura ridotta sia stato effettuato e accettato dall'Autorità che ha elevato la contestazione pur in mancanza dei requisiti richiesti:;a) la somma incamerata è trattenuta a titolo di garanzia ma, in caso di irrogazione della sanzione, deve essere restituita entro dieci giorni dall'emissione del provvedimento sanzionatorio;b) la somma incamerata viene restituita trattenendo il 5% a titolo di garanzia e, in caso di irrogazione della sanzione, detta quota è imputata come tale;c) la somma incamerata viene restituita trattenendo il 10% a titolo di garanzia e, in caso di irrogazione della sanzione, detta quota è imputata come tale;d) la somma incamerata è trattenuta a titolo di garanzia e, in caso di irrogazione della sanzione, è imputata come tale;4
