La marcatura CE apposta su determinati prodotti è irregolare se risulta essere;a) Leggibile;b) Indelebile;c) Visibile;d) Rimovibile;4
Qualora un operatore commerciale produce beni in violazione alle norme in materia di contraffazione si può procedere alla confisca amministrativa dei locali ove vengono prodotti i materiali contraffatti?;a) Vero, ma solo nell'ipotesi in cui l'operatore sia recidivo;b) Vero;c) Falso, vengono confiscati soltanto i materiali contraffatti;d) Falso, si procede soltanto all'applicazione di una sanzione amministrativa;2
Un rapporto della Commissione europea del 2015 nell' analizzare, tra l'altro, le rotte di movimentazione dei prodotti contraffatti, evidenzia che il maggior Paese di provenienza delle merci contraffatte è:;a) La Cina;b) Il Vietnam;c) La Turchia;d) Singapore;1
Il contrasto alla contraffazione on line può avvenire, tra l'altro, tramite:;a) Perquisizioni digitali;b) Deviando il traffico su altri indirizzi internet;c) L'oscuramento dei siti internet illegali;d) La creazione di nuovi siti internet;3
La circolazione di prodotti contraffatti su internet è stata, ulteriormente, favorita:;"a) Dall'approvazione nel 2019 della c.d. Direttiva ""copyright""";b) Dal denaro ricevuto online indebitamente dal pubblico ufficiale o dall'incaricato del pubblico servizio;c) Da forme di accordo su internet tra le parti, che non seguono l'effettiva remunerazione con denaro o altra utilità;d) Dall'inserimento di meta-tag riferiti a marchi o segni distintivi notori, all'interno dei codici html relativi a siti web legali, quali parole chiave che il motore di ricerca legge e rileva all'atto dell'indicizzazione;4
Nell'ambito del territorio nazionale, come si procede alla registrazione di un brevetto?;a) va presentata un'apposita domanda all'Ufficio Brevetti e Marchi presente in tutte le Camere di Commercio Industria Artigianato e Agricoltura;b) va presentata un'apposita domanda al Comune di residenza del richiedente;c) va presentata un'apposita domanda al ministero dell'Economia e Finanze;"d) va presentata
un'apposita domanda alla locale Prefettura - Ufficio Territoriale del Governo";1
Che cosa s'intende per alterazione di un marchio?;a) La riproduzione di un marchio fedele all'originale;"b) La riproduzione
capziosa di un marchio tale da poter determinare confusione con quello originale";c) La riproduzione di oggetti senza distintivi ma di scarsa qualità;d) La riproduzione non riconducibile ad un marchio registrato;2
La falsa indicazione di cui all'art. 4, comma 49, della Legge 24 dicembre 2003, n. 350:;a) Può essere sanata sul piano amministrativo solo attraverso l'esatta indicazione dell'origine;"b) Può essere sanata sul piano amministrativo solo attraverso l'asportazione della stampigliatura ""made in Italy""";"c) Può essere sanata sul piano amministrativo attraverso l'esatta indicazione dell'origine e l'asportazione della stampigliatura ""made in Italy""";d) Può essere sanata sul piano penale facendo ricorso al Giudice di Pace;3
Ai sensi del regolamento 2003/1383/CE per merce contraffatta si intende:;a) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica diverso da quello validamente registrato per tutte le altre tipologie di merce;b) La merce su cui sia stato apposto un marchio di fabbrica validamente registrato per quelle stesse tipologie di merce;c) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica identico a quello validamente registrato per gli stessi tipi di merce;d) La merce su cui sia stato apposto, senza autorizzazione, un marchio di fabbrica diverso da quello validamente registrato per gli stessi tipi di merce;3
La circostanza aggravante, disciplinata dall'art. 474 ter c.p., punisce;a) La condotta delle imprese dedite, in modo sistematico ovvero attraverso l'allestimento di mezzi e attività organizzate, al contrabbando;b) L'autoriciclaggio;c) La contraffazione del sigillo dello Stato;d) La condotta delle imprese dedite, in modo sistematico ovvero attraverso l'allestimento di mezzi e attività organizzate, alla contraffazione;4
Nel settore della contraffazione è prevista la confisca delle cose che servirono o furono destinate a commettere il reato e delle cose che ne sono l'oggetto, il prodotto, il prezzo o il profitto, a chiunque appartenenti?;a) Sì, obbligatoria;b) Sì, ma è facoltativa;c) Sì, obbligatoria ma solo delle cose che furono destinate a commettere il reato;d) Non è mai prevista;1
"L'art. 473 c.p., rubricato (contraffazione,
alterazione o uso di marchi o segni distintivi ovvero di brevetti, modelli e disegni) punisce:";"a) L'alterazione o uso di marchio, segni distintivi ovvero di brevetti, modelli
e disegni";b) La contraffazione, alterazione o uso di marchio, segni distintivi ovvero di brevetti, modelli e disegni;c) La contraffazione alterazione o uso di brevetti, modelli e disegni;d) L'uso di marchio, segni distintivi ovvero di brevetti, modelli e disegni;2
